close_time,resistance,support
1659252599999.0,23841.23,23841.23
1659252899999.0,23841.23,23841.23
1659253199999.0,23841.23,23841.23
1659253499999.0,23841.23,23841.23
1659253799999.0,23841.23,23841.23
1659254099999.0,23841.23,23841.23
1659254399999.0,23841.23,23841.23
1659254699999.0,23841.23,23841.23
1659254999999.0,23841.23,23841.23
1659255299999.0,23841.23,23841.23
1659255599999.0,23841.23,23841.23
1659255899999.0,23841.23,23841.23
1659256199999.0,23841.23,23841.23
1659256499999.0,23841.23,23841.23
1659256799999.0,23841.23,23841.23
1659257099999.0,23841.23,23841.23
1659257399999.0,23841.23,23841.23
1659257699999.0,23841.23,23841.23
1659257999999.0,23841.23,23841.23
1659258299999.0,23841.23,23841.23
1659258599999.0,23841.23,23841.23
1659258899999.0,23841.23,23841.23
1659259199999.0,23841.23,23841.23
1659259499999.0,23841.23,23841.23
1659259799999.0,23841.23,23841.23
1659260099999.0,23841.23,23841.23
1659260399999.0,23841.23,23841.23
1659260699999.0,23841.23,23841.23
1659260999999.0,23841.23,23841.23
1659261299999.0,23841.23,23841.23
1659261599999.0,23841.23,23841.23
1659261899999.0,23841.23,23841.23
1659262199999.0,23841.23,23841.23
1659262499999.0,23841.23,23841.23
1659262799999.0,23841.23,23841.23
1659263099999.0,23841.23,23841.23
1659263399999.0,23841.23,23841.23
1659263699999.0,23841.23,23841.23
1659263999999.0,23841.23,23841.23
1659264299999.0,23841.23,23841.23
1659264599999.0,23841.23,23841.23
1659264899999.0,23841.23,23841.23
1659265199999.0,23841.23,23841.23
1659265499999.0,23841.23,23841.23
1659265799999.0,23841.23,23841.23
1659266099999.0,23841.23,23841.23
1659266399999.0,23841.23,23841.23
1659266699999.0,23841.23,23841.23
1659266999999.0,23841.23,23841.23
1659267299999.0,23841.23,23841.23
1659267599999.0,23841.23,23841.23
1659267899999.0,23841.23,23841.23
1659268199999.0,23841.23,23841.23
1659268499999.0,23841.23,23841.23
1659268799999.0,23841.23,23841.23
1659269099999.0,23841.23,23841.23
1659269399999.0,23841.23,23841.23
1659269699999.0,23841.23,23841.23
1659269999999.0,23841.23,23841.23
1659270299999.0,23841.23,23841.23
1659270599999.0,23841.23,23841.23
1659270899999.0,23841.23,23841.23
1659271199999.0,23841.23,23841.23
1659271499999.0,23841.23,23841.23
1659271799999.0,23841.23,23841.23
1659272099999.0,23841.23,23841.23
1659272399999.0,23841.23,23841.23
1659272699999.0,23841.23,23841.23
1659272999999.0,23841.23,23841.23
1659273299999.0,23841.23,23841.23
1659273599999.0,23841.23,23841.23
1659273899999.0,23841.23,23841.23
1659274199999.0,23841.23,23841.23
1659274499999.0,23841.23,23841.23
1659274799999.0,23841.23,23841.23
1659275099999.0,23841.23,23841.23
1659275399999.0,23841.23,23841.23
1659275699999.0,23841.23,23841.23
1659275999999.0,23841.23,23841.23
1659276299999.0,23841.23,23841.23
1659276599999.0,23841.23,23841.23
1659276899999.0,23841.23,23841.23
1659277199999.0,23841.23,23841.23
1659277499999.0,23841.23,23841.23
1659277799999.0,23841.23,23841.23
1659278099999.0,23841.23,23841.23
1659278399999.0,23841.23,23841.23
1659278699999.0,23841.23,23841.23
1659278999999.0,23841.23,23841.23
1659279299999.0,23841.23,23841.23
1659279599999.0,23841.23,23841.23
1659279899999.0,23841.23,23841.23
1659280199999.0,23841.23,23841.23
1659280499999.0,23841.23,23841.23
1659280799999.0,23841.23,23841.23
1659281099999.0,23841.23,23841.23
1659281399999.0,23841.23,23841.23
1659281699999.0,23841.23,23841.23
1659281999999.0,23841.23,23841.23
1659282299999.0,23841.23,23841.23
1659282599999.0,23841.23,23841.23
1659282899999.0,23841.23,23841.23
1659283199999.0,23841.23,23841.23
1659283499999.0,23841.23,23841.23
1659283799999.0,23841.23,23841.23
1659284099999.0,23841.23,23841.23
1659284399999.0,23841.23,23841.23
1659284699999.0,23841.23,23841.23
1659284999999.0,23841.23,23841.23
1659285299999.0,23841.23,23841.23
1659285599999.0,23841.23,23841.23
1659285899999.0,23841.23,23841.23
1659286199999.0,23841.23,23841.23
1659286499999.0,23841.23,23841.23
1659286799999.0,23841.23,23841.23
1659287099999.0,23841.23,23841.23
1659287399999.0,23841.23,23841.23
1659287699999.0,23841.23,23841.23
1659287999999.0,23841.23,23841.23
1659288299999.0,23841.23,23841.23
1659288599999.0,23841.23,23841.23
1659288899999.0,23841.23,23841.23
1659289199999.0,23841.23,23841.23
1659289499999.0,23841.23,23841.23
1659289799999.0,23841.23,23841.23
1659290099999.0,23841.23,23841.23
1659290399999.0,23841.23,23841.23
1659290699999.0,23841.23,23841.23
1659290999999.0,23841.23,23841.23
1659291299999.0,23841.23,23841.23
1659291599999.0,23841.23,23841.23
1659291899999.0,24123.02,24123.02
1659292199999.0,24123.02,24123.02
1659292499999.0,24123.02,24123.02
1659292799999.0,24123.02,24123.02
1659293099999.0,24123.02,24123.02
1659293399999.0,23697.54,23697.54
1659293699999.0,23697.54,23697.54
1659293999999.0,23697.54,23697.54
1659294299999.0,23697.54,23697.54
1659294599999.0,23697.54,23697.54
1659294899999.0,23901.76,23901.76
1659295199999.0,23901.76,23901.76
1659295499999.0,23901.76,23901.76
1659295799999.0,23901.76,23901.76
1659296099999.0,23923.39,23923.39
1659296399999.0,23923.39,23923.39
1659296699999.0,23923.39,23923.39
1659296999999.0,23923.39,23923.39
1659297299999.0,23923.39,23923.39
1659297599999.0,23923.39,23923.39
1659297899999.0,23923.39,23923.39
1659298199999.0,23923.39,23923.39
1659298499999.0,23923.39,23923.39
1659298799999.0,23923.39,23923.39
1659299099999.0,23923.39,23923.39
1659299399999.0,23923.39,23923.39
1659299699999.0,23923.39,23923.39
1659299999999.0,23923.39,23923.39
1659300299999.0,23923.39,23923.39
1659300599999.0,23923.39,23923.39
1659300899999.0,23923.39,23923.39
1659301199999.0,23923.39,23923.39
1659301499999.0,23923.39,23923.39
1659301799999.0,23923.39,23923.39
1659302099999.0,23923.39,23923.39
1659302399999.0,23923.39,23923.39
1659302699999.0,23923.39,23923.39
1659302999999.0,23923.39,23923.39
1659303299999.0,23923.39,23923.39
1659303599999.0,23923.39,23923.39
1659303899999.0,23923.39,23923.39
1659304199999.0,23923.39,23923.39
1659304499999.0,23923.39,23923.39
1659304799999.0,23923.39,23923.39
1659305099999.0,23923.39,23923.39
1659305399999.0,23923.39,23923.39
1659305699999.0,23923.39,23923.39
1659305999999.0,23521.46,23521.46
1659306299999.0,23521.46,23521.46
1659306599999.0,23521.46,23521.46
1659306899999.0,23521.46,23521.46
1659307199999.0,23521.46,23521.46
1659307499999.0,23521.46,23521.46
1659307799999.0,23521.46,23521.46
1659308099999.0,23521.46,23521.46
1659308399999.0,23521.46,23521.46
1659308699999.0,23521.46,23521.46
1659308999999.0,23521.46,23521.46
1659309299999.0,23521.46,23521.46
1659309599999.0,23521.46,23521.46
1659309899999.0,23521.46,23521.46
1659310199999.0,23521.46,23521.46
1659310499999.0,23521.46,23521.46
1659310799999.0,23521.46,23521.46
1659311099999.0,23521.46,23521.46
1659311399999.0,23521.46,23521.46
1659311699999.0,23521.46,23521.46
1659311999999.0,23521.46,23521.46
1659312299999.0,23521.46,23521.46
1659312599999.0,23521.46,23521.46
1659312899999.0,23521.46,23521.46
1659313199999.0,23521.46,23521.46
1659313499999.0,23521.46,23521.46
1659313799999.0,23521.46,23521.46
1659314099999.0,23521.46,23521.46
1659314399999.0,23521.46,23521.46
1659314699999.0,23521.46,23521.46
